size,tag,strategy,proportion
50,10000,traitor,0.46221825
50,10000,traitor,0.42221000000000003
50,10000,traitor,0.3766633
50,10000,traitor,0.43478107
50,10000,traitor,0.49286622
50,10000,traitor,0.4073417
50,10000,traitor,0.460319
50,1,ethnocentric,0.43985116
50,1,ethnocentric,0.39716762
50,1,ethnocentric,0.29752395
50,1,ethnocentric,0.59768987
50,1,ethnocentric,0.44440870000000005
50,1,ethnocentric,0.31626025
50,1,ethnocentric,0.39645818
50,1,ethnocentric,0.39044294
50,1,ethnocentric,0.5485348000000001
50,1,ethnocentric,0.3203479
50,2,ethnocentric,0.66527766
50,2,ethnocentric,0.6291389000000001
50,2,ethnocentric,0.66306806
50,2,ethnocentric,0.61004263
50,2,ethnocentric,0.6227855
50,2,ethnocentric,0.6134773
50,2,ethnocentric,0.64047784
50,2,ethnocentric,0.6052696
50,2,ethnocentric,0.5822909000000001
50,2,ethnocentric,0.6627153
50,4,ethnocentric,0.81930715
50,4,ethnocentric,0.6698486
50,4,ethnocentric,0.6961503000000001
50,4,ethnocentric,0.76184535
50,4,ethnocentric,0.6868924
50,4,ethnocentric,0.67729944
50,4,ethnocentric,0.6324747
50,4,ethnocentric,0.7955534000000001
50,4,ethnocentric,0.78808534
50,4,ethnocentric,0.77105105
50,8,ethnocentric,0.81570137
50,8,ethnocentric,0.7982592
50,8,ethnocentric,0.7405828000000001
50,8,ethnocentric,0.7480316999999999
50,8,ethnocentric,0.7361445
50,8,ethnocentric,0.71324104
50,8,ethnocentric,0.75007975
50,8,ethnocentric,0.75828284
50,8,ethnocentric,0.7249619
50,8,ethnocentric,0.7664701999999999
50,10000,ethnocentric,0.17523636
50,10000,ethnocentric,0.082237504
50,10000,ethnocentric,0.068845004
50,10000,ethnocentric,0.07941189400000001
50,10000,ethnocentric,0.09191042
50,10000,ethnocentric,0.106689446
50,10000,ethnocentric,0.06540969
50,10000,ethnocentric,0.08780905
50,10000,ethnocentric,0.11204447599999999
50,10000,ethnocentric,0.083487615
50,1,humanitarian,0.40068734
50,1,humanitarian,0.45788243
50,1,humanitarian,0.52454126
50,1,humanitarian,0.23211613
50,1,humanitarian,0.34923318
50,1,humanitarian,0.4843191
50,1,humanitarian,0.42870644
50,1,humanitarian,0.42835808
50,1,humanitarian,0.22815473
50,1,humanitarian,0.5052840999999999
50,2,humanitarian,0.19716817
50,2,humanitarian,0.27260545
50,2,humanitarian,0.19655369
50,2,humanitarian,0.25668225
50,2,humanitarian,0.23799405
50,2,humanitarian,0.26415366
50,2,humanitarian,0.21124716
50,2,humanitarian,0.27086502
50,2,humanitarian,0.27221566
50,2,humanitarian,0.20965149
50,4,humanitarian,0.076954596
50,4,humanitarian,0.24794067
50,4,humanitarian,0.18502378
50,4,humanitarian,0.1542831
50,4,humanitarian,0.22148761
50,4,humanitarian,0.21241812
50,4,humanitarian,0.23562713
50,4,humanitarian,0.13382708
50,4,humanitarian,0.12688202
50,4,humanitarian,0.109189875
50,8,humanitarian,0.09228453
50,8,humanitarian,0.1095828
50,8,humanitarian,0.13945709
50,8,humanitarian,0.16459215
50,8,humanitarian,0.15965445
50,8,humanitarian,0.19884464
50,8,humanitarian,0.13045135
50,8,humanitarian,0.13398807
50,8,humanitarian,0.19915234
50,8,humanitarian,0.14200439999999998
50,10000,humanitarian,0.29800909999999997
50,10000,humanitarian,0.37973598
50,10000,humanitarian,0.39028979999999996
50,10000,humanitarian,0.35239288
50,10000,humanitarian,0.37416995
50,10000,humanitarian,0.39326248
50,10000,humanitarian,0.37305003
50,10000,humanitarian,0.32958415
50,10000,humanitarian,0.40728813
50,10000,humanitarian,0.35556835
